symbol,name,baseAsset,quoteAsset,sector,industry,exchange,priceStep,quantityStep,minQuantity
TEAM,Atlassian Corporation,TEAM,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
WDAY,"Workday, Inc.",WDAY,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
ZS,"Zscaler, Inc.",ZS,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
OKTA,"Okta, Inc.",OKTA,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
FTNT,"Fortinet, Inc.",FTNT,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
CDNS,"Cadence Design Systems, Inc.",CDNS,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
SNPS,"Synopsys, Inc.",SNPS,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
CRNC,Cerence Inc.,CRNC,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
CHKP,Check Point Software Technologi,CHKP,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
AKAM,"Akamai Technologies, Inc.",AKAM,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
VRSN,"VeriSign, Inc.",VRSN,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
ORLY,"O'Reilly Automotive, Inc.",ORLY,USD,Consumer Cyclical,Auto Parts,NMS,0.01,1.0,1.0
AZO,"AutoZone, Inc.",AZO,USD,Consumer Cyclical,Auto Parts,NYQ,0.01,1.0,1.0
CMG,"Chipotle Mexican Grill, Inc.",CMG,USD,Consumer Cyclical,Restaurants,NYQ,0.01,1.0,1.0
YUM,"Yum! Brands, Inc.",YUM,USD,Consumer Cyclical,Restaurants,NYQ,0.01,1.0,1.0
MAR,Marriott International,MAR,USD,Consumer Cyclical,Lodging,NMS,0.01,1.0,1.0
HLT,Hilton Worldwide Holdings Inc.,HLT,USD,Consumer Cyclical,Lodging,NYQ,0.01,1.0,1.0
RCL,Royal Caribbean Cruises Ltd.,RCL,USD,Consumer Cyclical,Travel Services,NYQ,0.01,1.0,1.0
CCL,Carnival Corporation,CCL,USD,Consumer Cyclical,Travel Services,NYQ,0.01,1.0,1.0
NCLH,Norwegian Cruise Line Holdings ,NCLH,USD,Consumer Cyclical,Travel Services,NYQ,0.01,1.0,1.0
DAL,"Delta Air Lines, Inc.",DAL,USD,Industrials,Airlines,NYQ,0.01,1.0,1.0
UAL,"United Airlines Holdings, Inc.",UAL,USD,Industrials,Airlines,NMS,0.01,1.0,1.0
AAL,"American Airlines Group, Inc.",AAL,USD,Industrials,Airlines,NMS,0.01,1.0,1.0
ROST,"Ross Stores, Inc.",ROST,USD,Consumer Cyclical,Apparel Retail,NMS,0.01,1.0,1.0
TJX,"TJX Companies, Inc. (The)",TJX,USD,Consumer Cyclical,Apparel Retail,NYQ,0.01,1.0,1.0
DG,Dollar General Corporation,DG,USD,Consumer Defensive,Discount Stores,NYQ,0.01,1.0,1.0
DLTR,"Dollar Tree, Inc.",DLTR,USD,Consumer Defensive,Discount Stores,NMS,0.01,1.0,1.0
KR,Kroger Company (The),KR,USD,Consumer Defensive,Grocery Stores,NYQ,0.01,1.0,1.0
KDP,Keurig Dr Pepper Inc.,KDP,USD,Consumer Defensive,Beverages - Non-Alcoholic,NMS,0.01,1.0,1.0
MNST,Monster Beverage Corporation,MNST,USD,Consumer Defensive,Beverages - Non-Alcoholic,NMS,0.01,1.0,1.0
MDLZ,"Mondelez International, Inc.",MDLZ,USD,Consumer Defensive,Confectioners,NMS,0.01,1.0,1.0
KHC,The Kraft Heinz Company,KHC,USD,Consumer Defensive,Packaged Foods,NMS,0.01,1.0,1.0
GIS,"General Mills, Inc.",GIS,USD,Consumer Defensive,Packaged Foods,NYQ,0.01,1.0,1.0
K,Kellanova,K,USD,Consumer Defensive,Packaged Foods,NYQ,0.01,1.0,1.0
HSY,The Hershey Company,HSY,USD,Consumer Defensive,Confectioners,NYQ,0.01,1.0,1.0
CL,Colgate-Palmolive Company,CL,USD,Consumer Defensive,Household & Personal Products,NYQ,0.01,1.0,1.0
KMB,Kimberly-Clark Corporation,KMB,USD,Consumer Defensive,Household & Personal Products,NMS,0.01,1.0,1.0
EL,"Estee Lauder Companies, Inc. (T",EL,USD,Consumer Defensive,Household & Personal Products,NYQ,0.01,1.0,1.0
PM,Philip Morris International Inc,PM,USD,Consumer Defensive,Tobacco,NYQ,0.01,1.0,1.0
MO,"Altria Group, Inc.",MO,USD,Consumer Defensive,Tobacco,NYQ,0.01,1.0,1.0
BTI,British American Tobacco  Indus,BTI,USD,Consumer Defensive,Tobacco,NYQ,0.01,1.0,1.0
STZ,"Constellation Brands, Inc.",STZ,USD,Consumer Defensive,Beverages - Brewers,NYQ,0.01,1.0,1.0
DEO,Diageo plc,DEO,USD,Consumer Defensive,Beverages - Wineries & Distilleries,NYQ,0.01,1.0,1.0
GILD,"Gilead Sciences, Inc.",GILD,USD,Healthcare,Drug Manufacturers - General,NMS,0.01,1.0,1.0
REGN,"Regeneron Pharmaceuticals, Inc.",REGN,USD,Healthcare,Biotechnology,NMS,0.01,1.0,1.0
VRTX,Vertex Pharmaceuticals Incorpor,VRTX,USD,Healthcare,Biotechnology,NMS,0.01,1.0,1.0
ISRG,"Intuitive Surgical, Inc.",ISRG,USD,Healthcare,Medical Instruments & Supplies,NMS,0.01,1.0,1.0
SYK,Stryker Corporation,SYK,USD,Healthcare,Medical Devices,NYQ,0.01,1.0,1.0
